group,trend,location,type,choice,reason,certainty,time,order,replicate,id,detect
B,NW-SE,6,Geography,6,2,3,2019-10-31 04:47:00,5,8,B15,1
B,three cities,9,Geography,4,1,2,2019-10-31 04:47:26,6,12,B15,0
B,all cities,3,Hexagons,3,1,2,2019-10-31 04:47:50,7,2,B15,1
B,NW-SE,5,Geography,5,2,3,2019-10-31 04:48:12,8,7,B15,1
B,three cities,5,Hexagons,1,0,1,2019-10-31 04:48:55,9,10,B15,0
B,three cities,12,Hexagons,12,1,2,2019-10-31 04:49:17,10,9,B15,1
B,NW-SE,3,Hexagons,3,0,4,2019-10-31 04:49:39,11,6,B15,1
B,NW-SE,2,Hexagons,2,0,4,2019-10-31 04:49:53,12,5,B15,1
B,NW-SE,3,Hexagons,8,2,2,2019-10-24 07:42:23,1,6,B16,0
B,three cities,12,Hexagons,12,1,4,2019-10-24 07:42:35,2,9,B16,1
B,NW-SE,5,Geography,5,2,5,2019-10-24 07:42:53,3,7,B16,1
B,NW-SE,6,Geography,6,3,4,2019-10-24 07:43:06,4,8,B16,1
B,three cities,9,Geography,6,1,4,2019-10-24 07:43:23,5,12,B16,0
B,all cities,12,Geography,12,1,3,2019-10-24 07:43:36,6,1,B16,1
B,all cities,4,Geography,11,0,2,2019-10-24 07:43:52,7,3,B16,0
B,all cities,3,Hexagons,9,2,4,2019-10-24 07:44:07,8,2,B16,0
B,NW-SE,2,Hexagons,12,3,4,2019-10-24 07:44:21,9,5,B16,0
B,three cities,8,Geography,2,3,4,2019-10-24 07:44:44,10,11,B16,0
B,three cities,5,Hexagons,4,3,4,2019-10-24 07:44:57,11,10,B16,0
B,all cities,9,Hexagons,8,0,5,2019-10-24 07:45:22,12,4,B16,0
B,three cities,8,Geography,5,1,3,2019-10-31 01:44:14,1,11,B17,0
B,NW-SE,6,Geography,4,1,3,2019-10-31 01:44:49,2,8,B17,0
B,all cities,3,Hexagons,3,3,3,2019-10-31 01:45:21,3,2,B17,1
B,three cities,9,Geography,3,3,3,2019-10-31 01:45:23,4,12,B17,0
